qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,qcc-Zxxx-r-sU2200-s5003-snop,eng-Latn-r-pSKOS-pprefLabel-ps5003,ara-Arab-r-pSKOS-pprefLabel-ps5003,qcc-Zxxx-r-pWDATA-pq7200235-ps5003-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5002,ara-Arab-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,ara-Arab-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,ara-Arab-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:16:422:3:21456,21456,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21456,Qornayel,قرنايل,LB21456,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21461,21461,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21461,Jouar El-Haouz,جوار الحوز,LB21461,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21466,21466,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21466,Bzebdine,بزبدين,LB21466,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21471,21471,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21471,Arsoun,ارصون,LB21471,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21476,21476,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21476,Kfar Selouane,كفرسلوان,LB21476,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21481,21481,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21481,Tarchich,ترشيش,LB21481,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21487,21487,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21487,Jouret Arsoun,جورة ارصون,LB21487,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:22001,22001,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:36,1603:16:422:3:22001,Litige,,LB22001,El Meten,المتن,LB36,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:22002,22002,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:36,1603:16:422:3:22002,Litige,,LB22002,El Meten,المتن,LB36,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:22111,22111,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:36,1603:16:422:3:22111,Bourj Hammoud,برج حمّود,LB22111,El Meten,المتن,LB36,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:22155,22155,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:36,1603:16:422:3:22155,Sinn El-Fil,سن الفيل,LB22155,El Meten,المتن,LB36,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:22211,22211,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:36,1603:16:422:3:22211,Jdaidet El-Matn,جديدة المتن,LB22211,El Meten,المتن,LB36,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:22228,22228,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:36,1603:16:422:3:22228,Baouchriyeh,بوشرية,LB22228,El Meten,المتن,LB36,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:22245,22245,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:36,1603:16:422:3:22245,Deir mar Roukoz, مار روكز,LB22245,El Meten,المتن,LB36,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:22262,22262,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:36,1603:16:422:3:22262,Dekouaneh,دكوانة,LB22262,El Meten,المتن,LB36,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:22279,22279,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:36,1603:16:422:3:22279,Mkalles,مكلس,LB22279,El Meten,المتن,LB36,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:22311,22311,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:36,1603:16:422:3:22311,Antelias,انطلياس,LB22311,El Meten,المتن,LB36,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:22319,22319,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:36,1603:16:422:3:22319,Menqlet Mezher,مزهر,LB22319,El Meten,المتن,LB36,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:22327,22327,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:36,1603:16:422:3:22327,Jall Ed-Did,جل الديب,LB22327,El Meten,المتن,LB36,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
